beruf,gebietsart,gebietsnummer,geburtsdatum,geschlecht,gruppe,name,namenszusatz,titel,vorname,vorperiode,wahlart,Gebiet,bundesland_kennung,bundesland,party
MdB / Landwirtschaftsmeister,WAHLKREIS,276,1956,m,2,Gerig,0,0,Alois,J,E,Odenwald – Tauber,8.0,,CDU/CSU
MdB,LAND,8,1971,m,1,Gerster,0,0,Martin,J,Z,0,8.0,,SPD
MdB / Kaufmann,WAHLKREIS,266,1951,m,2,Gienger,0,0,Eberhard,J,E,Neckar-Zaber,8.0,,CDU/CSU
Stadtkämmerer a. D.,LAND,6,1942,m,35,Glaser,0,0,Albrecht Heinz Erhard,N,Z,0,6.0,,AfD
MdB,LAND,7,1962,w,1,Glöckner,0,0,Angelika,J,Z,0,7.0,,SPD
Dipl.-Kauffrau,LAND,8,1945,w,35,Gminder,0,0,Franziska,N,Z,0,8.0,,AfD
Sozialdezernent / Volljurist,WAHLKREIS,66,1958,m,2,Gnodtke,0,0,Eckhard,N,E,Altmark,15.0,,CDU/CSU
MdB / Kommunikationswissenschaftlerin,LAND,9,1975,w,34,Gohlke,0,0,Nicole Stephanie,J,Z,0,9.0,,Die Linke
MdB,LAND,16,1966,w,5,Göring-Eckardt,0,0,Katrin,J,Z,0,16.0,,Grüne
Beamter i. R.,LAND,3,1940,m,35,Gottberg,von,0,Wilhelm,N,Z,0,3.0,,AfD
Angestellter,LAND,5,1965,m,35,Gottschalk,0,0,Kay,N,Z,0,5.0,,AfD
MdL,WAHLKREIS,168,1976,m,1,Gremmels,0,0,Timon,N,E,Kassel,6.0,,SPD
MdB,LAND,5,1966,w,1,Griese,0,0,Kerstin,J,Z,0,5.0,,SPD
MdB / Bankkauffrau,WAHLKREIS,205,1965,w,2,Groden-Kranich,0,0,Ursula,J,E,Mainz,7.0,,CDU/CSU
MdB / Bundesminister / Jurist,WAHLKREIS,108,1961,m,2,Gröhe,0,0,Hermann,J,E,Neuss I,5.0,,CDU/CSU
MdB / Jurist,WAHLKREIS,80,1966,m,2,Gröhler,0,0,Klaus-Dieter,J,E,Berlin-Charlottenburg-Wilmersdorf,11.0,,CDU/CSU
Geschäftsbereichsleiter,WAHLKREIS,122,1956,m,1,Groß,0,0,Michael Peter,J,E,Recklinghausen II,5.0,,SPD
MdB / Rechtsanwalt,WAHLKREIS,36,1960,m,2,Grosse-Brömer,0,0,Michael,J,E,Harburg,3.0,,CDU/CSU
MdB / Dipl.-Ökotrophologin,WAHLKREIS,28,1964,w,2,Grotelüschen,0,0,Astrid Katharina Josefine,J,E,Delmenhorst – Wesermarsch – Oldenburg-Land,3.0,,CDU/CSU
MdB / Polizeibeamter,LAND,9,1975,m,1,Grötsch,0,0,Uli,J,Z,0,9.0,,SPD
MdB / parl. Staatssekretär,WAHLKREIS,261,1959,m,2,Grübel,0,0,Markus,J,E,Esslingen,8.0,,CDU/CSU
Dipl.-Elektroingenieur,WAHLKREIS,189,1955,m,2,Grund,0,0,Manfred,J,E,Eichsfeld – Nordhausen – Kyffhäuserkreis,16.0,,CDU/CSU
Vertriebsmanager,LAND,9,1963,m,5,Grundl,0,0,Erhard,N,Z,0,9.0,,Grüne
MdB / Rechtsanwalt,WAHLKREIS,30,1971,m,2,Grundmann,0,0,Oliver Klaus,J,E,Stade I – Rotenburg II,3.0,,CDU/CSU
